title,reviews
데드캠핑 더라이브,"데드캠핑 더라이브
감독
김현우
출연
남지현
개봉
2022.05.12. 대한민국
평점
리뷰보기

포미닛 출신 남지현이 주연을 맡은 스릴러물이랄까요?
솔로캠핑 유튜버를 찾아온 정체불명의 집단과의 싸움이랄까요?
저예산 영화 느낌이라 완성도는 떨어지는 편인데 러닝타임도 짧고 해서 그냥저냥 봤네요."
데드캠핑 더라이브," 5월 12일 개봉하는 영화 '데드캠핑 더 라이브'입니다.
그런데...오늘 '올레티비'에 올라온것을 보니..
바로 'IPTV'로 넘어온듯 싶은데요..
(사실 극장에서 개봉했어도 볼 생각은 없었지만 ㅋㅋㅋ)

오늘 '야간근무'인지라...
심심하던차에, 올라온것을 보고 바로 '시작'을 했는데요..
보고나니 왜 막바로 넘어온것인지 '이해'가 되는..

 

인기 유투버인 '수연'


그녀는 '캠핑'을 떠나고, 그것을 '라이브'로 방송을 하는데요..


그런데 누군가가 그녀를 찾아옵니다..


그녀를 공격하는 '괴한'들


그런데 갑자기 이상한 '화장'으로 '변신'한 '수연'은


도리어 '괴한'들을 한명씩 '제거'하기 시작하는데요..


사실 이 모든것은 '함정'이였던...


그녀의 처절한 '복수'가 시작이 되는데요...









'데드캠핑 더라이브'는 '개봉'소식이 알려져도 그닥 볼 생각은 없었는데요 ㅋㅋㅋ
'포스터'부터 '예고편'까지 완전 '저예산'티가 확 나고.
'러닝타임'이 72분 밖에 안된다는 것을 보고...더욱 볼 생각이 없었는데 ..

오늘 '올레티비'에 올라온것을 보고..
그래도 궁금은 하더라구요....과연 '예상'대로일까?
아니면 '킬링타임용'은 될까?
그런데 보고나니, 역시나였던 ㅠㅠ

인기 유투버인 '수연'
그녀는 '캠핑'을 떠나 '라이브방송'을 하는데
'괴한'들이 그녀를 공격하는데요..

그러나 '수연'의 '함정'이였고..
도리어 '괴한'들이 '수연'에게 살해당하기 시작합니다.

문득..'복수'하려면 저렇게 '화장'을 해야되나? 싶기도 했었던..
이상한 '눈화장'ㅋㅋㅋㅋ

그리고 '수연'이 복수하는 '이유'가 나오는데요..

요즘 'BJ'나 '유투버'들이 워낙 많으니 말입니다.
그중에선 '조회수'를 올리려고 엄청 '자극적'인 '짓'을 하는 사람들도 있는데요.

실제로 이런 일까지 벌이는 사람들은 있을까? 하겠지만
'감독'의 상상에 의해 벌여진 '끔찍한 일'

그리고 '수연'은 '복수'를 위해 '함정'을 파왔단것..
제대로 걸린 넘들이였는데요...

사실.. '남지현'의 처절한 '액션연기'는 좀 기대를 했었는데..
'액션'도 '생각'보다 '부족'하고..
'괴한'들의 어색한 '연기'도 그렇고..

'기사'에서 보니 '한소희'씨의 '액션연기'랑 비교하기도 하던데..
솔직히 '급'이 다릅니다...

'남지현'씨의 팬들은 좋아하실지 모르겠지만..
저는 그닥..별루..

그다지 '추천'해드리고 싶지 않은 '작품'입니다..

데드캠핑 더라이브
감독
김현우
출연
남지현
개봉
2022.05.12. 대한민국
평점
리뷰보기"
데드캠핑 더라이브," 

전체적으로 어설프고 허접한 부분들이 엄청 많지만 그래도 B급 영화 치곤 나름 노력한 흔적들이 보인다.

뜬금없이 여자 람보가 되는 것 까지는 좋은데 나쁜 놈들을 죽이는 과정들이 너무 서툴고 모양새가 꽝이다.

그래도 감독이 어설프게나마 이런 종류들에 영화를 보긴 보고 많이 흉내를 낸 것도 있지만 가능성은 보인다.

당연히 죽여야 하고 죽어야 될 놈들을 죽인 거지만 사실 현실은 영화의 내용 보다 몇 배는 심한 게 사실이다.

그렇다고 그런 놈들을 저런 식으로 죽이려 한다면 먼저 죽는다는 것도 판단은 해야 하는데 영화니까 그냥 봐주자

여하튼 어설픈 연기들로 하나의 영화를 시작하고 끝내는데 모두가 노력을 한 것은 분명히 보인다.

또한 무명 감독의 작품 치고는 어설픈 부분도 있지만 유명 감독도 못하는 독특한 방법의 연출들이 대단한 것 같다.


데드캠핑 더 라이브 . 2022


데드캠핑 더라이브
감독
김현우
출연
남지현
개봉
2022.05.12. 대한민국
리뷰보기"
데쓰 캘린더 (The Advent Calendar)," 공포 스릴러 영화 <데쓰 캘린더>는 선물로 받은 어드벤트 캘린더를 열면서 악마와의 거래가 시작되는 이야기를 그린 작품이다.

아름다운 외모를 지닌 에바는 전직 댄서로 불의의 사고로 하반신 마비가 된다. 그녀는 친구 소피로부터 크리스마스까지 매일 열어보는 어드벤트 캘린더를 선물 받는다.

어드벤트 캘린더란 '강림절 달력'이란 뜻으로 크리스마스 전 4주간의 기간 동안 날짜에 맞는 칸을 열면 랜덤으로 작은 선물이 들어있어 매일매일 새로운 선물과 성탄절을 기다리는 재미가 있는 제품이다.

영화 <데쓰 캘린더>에서 나오는 캘린더의 외부에는 '이걸 버리면 죽는다'는 섬뜩한 메시지가 적혀 있고, 매일 캘린더를 열 때마다 사건들이 일어난다.

소소한 행복부터 시작해 위험한 일들이 점차 강도가 높아지며 벌어진다. 하지만, 위험한 일들이 일어날수록 에바에게 유리한 방향으로 진행되고 점차적으로 캘린더에 집착하게 된다. 캘린더라는 악마의 유혹에서 헤어나올 수 없게 된다.

영화는 크리스마스 전에 소소한 행복을 느낄 수 있는 캘린더라는 소재로 극도의 공포감을 선사한다.

매일 달력을 열 때마다 오늘은 어떤 소소한 행복이 기다릴까 궁금해지는 기분이 어떠한 공포가 기다릴까로 바뀌며 전혀 다른 두근거림을 준다.

기괴하고 섬뜩한 장면이 사실감 있게 그려지지만, 그 안에 내포한 인간의 욕망을 드러내며 몰입해 보게 된다.

캘린더를 열면 절대적으로 지켜야하는 규칙이 존재한다. 초콜릿과 캔디는 한 번에 다 먹어야 한다는 규칙이다.

처음에는 간단한 규칙 같아 보이지만 규칙을 지키지 않으면 죽는다는 섬뜩한 규칙도 함께 존재해, 싫어도 무서워도 무조건 해야 하는 상황이 벌어진다.

'예수께서 앉은뱅이에게 일어나 걸으라고 말씀하셨다'라는 글과 함께 성모 마리아상 모양의 캔디가 나오고, 에바가 그 캔디를 먹었을 때 신비한 경험을 하게 된다.

하반신 마비인 에바는 캘린더로 인해 일상이 흔들리고 앉은뱅이의 기적을 기대하며 캘린더의 유혹에 빠지게 된다. 캘린더는 문을 여는 사람에 맞춰 그 사람이 원하는 일들을 들어주지만, 잔인한 대가를 치러야 한다.

캘린더는 에바가 처음 이용한 것이 아니라 이전에 다른 사람들도 이용한 것으로 그 사람을 찾아가 캘린더에 숨겨진 비밀을 찾아낸다.

예상치 못한 마지막 반전은 에바가 무엇을 선택했는지 궁금증을 자아내며, 관객들은 자신이라면 무엇을 선택할지 고민하게 한다.

공포감에 더해 인간의 숨은 욕망을 드러내는 영화로 오랜만에 꽤 즐거운 공포감을 선사한다. 장애인에 대한 차가운 시선도 함께 느낄 수 있어 현재 사회를 돌아볼 기회도 준다.

초여름 당신의 간담을 서늘하게 하며 여름 더위를 날려줄 공포 스릴러 영화 <데쓰 캘린더>는 오는 23일 개봉한다.

/마이스타 박선영 기자

기사 원문보기 http://www.mystar.ne.kr/archives/10428
[마이스타] 평범한 일상이 흔들릴 때, 당신의 선택은?
공포 스릴러 영화 는 선물로 받은 어드벤트 캘린더를 열면서 악마와의 거래가 시작되는 이야기를 그린 작품이다. 아름다운 외모를 지닌 에바는 전...
www.mystar.ne.kr

데쓰 캘린더
감독
파트리크 리드르몽
개봉
2022.06.23. 프랑스, 벨기에
리뷰보기
 "
도어맨 (The Doorman),"3월 16일 개봉한 영화 '도어맨'입니다.
'루비 로즈'와 '장 르노'가 나온다고 하고..예고편도 잼나보여서, 기대하던 영화였는데..
왜 '개봉'은 했는데, '상영관'은 하나도 없는지..ㅠㅠ
그런데 본 사람들도 그닥 '평'들이 좋지 않더라구요..

'혹평'들이 많지만.. 
그래도 보고싶었던 영화였는지라, 'VOD'로 올라오기만을 기다렸는데 말입니다.
오늘 '야간근무'라 출근해서 '회사'에서 보니 있더라구요 ㅋㅋㅋ
그래서 바로 시작을 했습니다..


'해병대 경호여단'소속의 '앨리 골스키'중사
그녀는 '루마니아'대사와 가족들을 '경호'하고 있는 가운데..
'테러범'들의 '습격'을 받습니다.

그러나 '테러범'의 '공격'에 모두들 죽고 홀로 살아남는데요..


'퇴역'후 '뉴욕'으로 돌아온 '앨리'
여전히 '트라우마'에 시달리고 있는 가운데..

그녀의 '삼촌'은 '앨리'에게 '도어맨'자리를 소개해줍니다.


현재 '리모델링' 예정인 '아파트'로 대부분의 '입주민'들이 나갔는지라
'빈집'만 잘 지키면 되는 간단한 일이였는데요..

아니 그런줄 알았는데요..


그런데 남은 '입주민'도 있었습니다..

'뇌졸증'남편을 데리고 있는 '허쉬'부부와
'아내'의 죽음이후 '부활절'만 보내고 떠나려는 '스탠튼'가족..

참고로 '스탠튼'의 아내는..
바로 '앨리'의 '언니'인....


'앨리'는 '조카'들의 '초대'에
'부활절' 식사를 같이 하려고 했는데..


'아파트'에 '불청객'들이 들어닥칩니다.

그들은 '허쉬'부부를 찾아가 '그림'이 어디있는지 묻고
그들을 죽여버리는데요..


그리고 '스탠튼'가족의 '집'을 들이닥치는...


한편 '허쉬'부부의 시체를 발견한 '앨리'는
동료에게 '경찰'에 신고하라고 연락하는데..


그 '동료'가 바로 '강도'두목의 '오른팔'인..


겨우 '공격'을 모면한 '앨리'는..
'조카'들을 구하기 위해 홀로 '사투'를 벌이기 시작합니다...









'루비 로즈'는 요즘 뜨는 '액션 배우'인데요..
'존윅'에서 '키아누 리브스'랑 싸우다 죽는 '킬러'로 인상깊게 나왔고
'라이즈 오브 스완'에서도 '메인빌런'으로 마지막에 '주인공'이랑 징하게 싸우다 죽고..
'레지던트 이블'에서도 '끔살'당했는데 말입니다..ㅠㅠ

보면서 오랜만에 안 죽는 역할로 나왔구나 생각이 들었습니다 ㅋㅋㅋㅋㅋㅋ

영화에서 초반에 '과거'장면이 나와서
'루마니아'대사가족이 죽고 '불명에 퇴역'한줄 알았는데..
'장 르노'가 조사한 자료에 의하면..
그 이후 '여군'으로서는 세번째로 '은성무공훈장'을 받은것으로 나옵니다.

그러나 '트라우마'로 '퇴역'한듯 싶은데 말입니다
그녀에게는 잊을수 없는 기억이니..

그리고 평범한 '도어맨'으로 일하는 그녀..
이 정도 '경력'이면 '경찰'로 특채해도 될텐데 말이지요
왠지 아까운..

'삼촌'의 '배려'로 '조카'들과 가까워질 기회를 얻습니다
그러나 그때 등장한 '강도'들...

영화를 보다보면 '루비 로즈'판 '다이하드' 느낌이 들었는데요..
단순한 '도어맨'인줄 안 '강도'
그리고 한명씩 해치우는 '앨리'...

그런데 많은 분들이 이야기하시듯이 생각보다 '액션'이 약한 느낌도 듭니다만..
그래도 '킬링타임용'은 충분히 되는듯 싶었습니다.

많은 분들이 '혹평'하셔서..
저도 '혹평'할 '각오'로 봤는데, ...완전 '망작'수준은 아니였습니다..
그냥 볼만했었던....

비중은 생각보다 작지만, 오랜만에 '장 르노'가 나와서 반가웠고요.
'루비 로즈'의 액션도 괜찮았고 말입니다..
넘 기대안하고 보면 ...'시간 때우기용'으로는 괜찮지 않을까? 싶습니다..

도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
평점
리뷰보기"
도어맨 (The Doorman),"도어맨
감독
기타무라 류헤이
출연
루비 로즈, 장 르노
개봉
2022.03.16. 미국
평점
리뷰보기



기타무라 류헤이 감독이 연출한 <도어맨>은 트라우마를 가진 한 여성이 아파트 도어맨으로 새로운 삶을 시작하는 순간 벌어지는 큰 사건을 다루고 있는 액션영화입니다.
  해병대에서 복무하는 루마니아 미 대사관에서 근무하는 알리는 대사관 가족과 함께 이동하는 과정에서 테러를 당하게 되고 홀로 살게 됩니다. 큰 트라우마를 안고 제대를 한 그녀는 고급 아파트 도어맨으로 새로운 삶을 살게 됩니다. 근무한 바로 다음 날 이 아파트에 자신의 언니의 남편 그러니까 형부와 조카들이 살고 있다는 것을 알게 됩니다. 사이가 썩 좋지 않은 관계였지만 아파트 리모델링 때문에 떠날 그 식구들과 저녁을 함께 하려고 합니다.
  한편 무장 괴한들이 그 날 아파트로 쳐들어옵니다. 알고 보니 이들은 또 다른 남은 사람인 버나드가 빼돌린 고가의 미술품을 찾으러 온 일당들이었고 이들은 또 다른 알리의 동료 도어맨과 거래 관계였습니다. 괴한의 우두머리인 빅터(장 르노)는 그림의 위치를 버나드에게 물어보니 그곳은 바로 알리의 형부 집이었습니다. 그렇게 빅터와 일당들은 형부의 집으로 쳐들어가고 마침 그 자리에 없던 큰 조카와 알리는 형부와 또 다른 조카를 구하려고 합니다.
  심플한 스토리의 여전사 이야기입니다. 여전사의 필수조건인 트라우마 역시 존재하고요. 결론부터 말하자면 모든 면이 아쉬웠습니다. 특히 기대도 안 했지만 배우의 연기력이 현저히 떨어지는 작품이었습니다. 주연 배우인 루비 로즈의 경우, 액션 장면을 제외한 대사 연기가 모두 어색합니다. 그 순간 배우가 어떻게 표정을 지어야할지 모르고 있는데다가 어색하기 짝이 없습니다. 다른 배우들도 마찬가지인데 장 르노를 제외한 배우들의 연기력이 너무나 아쉬웠습니다. 액션영화라는 점을 고려하고 보더라도 그렇습니다.
  그렇다고 해서 액션 장면이 훌륭한 것도 아니었습니다. 어떤 호흡의 콘셉트를 갖고 편집을 했는지 도무지 이해가 안 가더라고요. 배우들의 액션 자체는 나쁘지 않은데 편집이 그림을 망친 경우라고 생각됩니다.
  그리고 가장 문제가 된 것은 알리의 형부 집에서 벌어지는 장면들이었습니다. 빅터가 그 집을 점령하고 금고를 터는 데 인질로 잡혀 있는 형부와 그의 딸은 너무나 편안한 상황입니다. 둘은 그냥 소파에 앉아있습니다. 누가 총을 겨누지만 포박이 되어 있지만 않습니다. 심지어 빅터에게 술을 권하기도 하죠. 그런데 어느 순간은 마치 그 동안 인질로서 공포심을 느껴다듯이 몰래 노트북을 사용하다가 걸립니다. 그런데도 불구하고 빅터 일당은 이들에게 어떤 위해도 주지 않습니다. 빅터 캐릭터 자체가 아주 폭력적이고 폭압적인 인물이 아니라는 건 알겠는데 이런 설정은 이해할 수가 없습니다.
  과거에 엄청 주목받았다고 들은 기타무라 류헤이 감독의 작품이라 <레이드>와 같은 영화를 살짝 기대해봤는데 여러모로 너무 아쉬운 작품이었습니다."
도쿄 리벤저스 (Tokyo Revengers),"도쿄 리벤저스
감독
하나부사 츠토무
출연
키타무라 타쿠미, 이마다 미오, 요시자와 료, 야마...
개봉
2022.01.19. 일본
평점
리뷰보기

원작만화는 안 봐서 모르겠으나...나오는 주인공들의 매력은 상당하다..
타임루프 영화류에서는 상당히 성공적이다.
워낙에 나비효과 임펙트가 강해서 그렇게 기대치가 높지는 않았지만 트랙이 다른 영화다.
후반으로 갈수록 힐링요소가 많다. 오히려 인문학적이라고 할까. 사람에게는 놀랍게도 어떤 버텨 낼 잠재적 힘이 있는 것 같다.
이런 면에서는 상당히 철학적이기도 하다. 근래에 알랭 드 보통의 왜 나는 너를 사랑하는가 읽는 부분과 상통되는 면도 있다.

만화라고 얕잡아 봐서는 안된다. 오히려 메세지 전달은 오히려 강할 수도 있다. 이 도쿄 리벤저스의 내용 전달에서는 크게 느낀 점은 두 가지다. 한 가지는 보이는 것 만으로 그리고 남의 평가로 그 창으로 같이 봐서는 안된다는 점이다. 그리고 두번째는 아무리 찌질해도 그래도 나를 안을 수 있는 것은 오직 나다. 그것은 아마도 거대한 나를 향한 사랑일 것이다. 수많은 분들이 불렀지만 휘트니 휴스턴의 노래가 가장 좋은데 아마도 The greatest love of all의 후반 가사도 아마도 가장 거대한 사랑은 내 자신 안에 있다는 점...여기서 아무리 찌질해도 바라보는 여주가 있어서 오히려 부럽다. 왜 이 찌질이를 좋아하는지는 단 한번의 기회로 훅~ 가버린 여주가 있는데...실은 그 안에는 어떤 인연보다는 찌질이 주인공의 내재된 큰 어떤 파워를 보았을 것이다. 영화가 끝났을때 저렇게 믿어주는 여주가 있다면 행복하겠다 생각을 했지만 실은 그렇치 않다는 것을 안다. 여주는 이 찌질이의 내면의 강한 힘을 보게 된 것이고 이것이 이 찌질이를 좋아하게 된 것이 확실하다. 그 외적인 면으로만 이런 여주가 곁에 있으면 좋겠다는 생각은 껍데기만 본 것에 불과하다는 것을 알고 난 후에는 부러워 할 것도 없었다. 원래 남녀의 인연은 그 껍데기 보다도 그 내면의 무엇을 찾았을 때 비로소 지속이라는 단어가 나타난다.

이 영화에서는 멋진 사내들이 나오기에 그 멋짐에 주의가 필요하다. 자주 나오는 편은 아니지만 여주의 미소에 훅~ 빠진다.
(아...미워도 영화나 애니를 보면 그닥 밉지도 않은 일본...하여간 일본은 나 개인에게도 상당히 미스테리한 나라다)

추천한다. 그냥 킬링타임으로 보았다가 어떤 인문학적인 생각도 떠오르게 한 영화. 추천.




 "
도쿄 리벤저스 (Tokyo Revengers),"도쿄 리벤저스
감독
하나부사 츠토무
출연
키타무라 타쿠미, 이마다 미오, 요시자와 료, 야마다 유키, 스기노 요스케, 스즈키 노부유키, ...
개봉
2021.12.22. 일본
평점
리뷰보기

  하나부사 츠토무 감독이 연출한 <도쿄 리벤저스>는 일본에서 엄청난 판매부수를 자랑하는 만화를 원작으로 한 타임리프물입니다.
  알바를 하며 생계를 유지하는 20대 후반의 청년 타케미치는 고등학교 때 사귀었던 여친인 하나타의 사망 소식을 뉴스로 접하고 넋이 나간채로 지하철 플랫폼에 서 있다가 누군가에 떠밀려 선로에 떨어지게 됩니다. 잠시 후 눈을 떠 보니 타케미치는 교복을 입은 학생이 되어있고 친구 무리들과 함께 있습니다.
  타케미치는 죽기 직전 주마등과 같은 기억이 되살아난 것이라고 여기지만 그는 10년 전으로 시간 여행을 떠난 것입니다. 꿈인지 생시인지 헛갈리던 와중 하나타의 동생, 경찰 나오토를 만나게 되고 타임리프의 진실을 알게 됩니다. 그리고 이 타임리프를 통해 무언가를 바꿀 수 있다고 여기게 됩니다.
  예고편을 볼 때만해도 이 작품은 양아치 고등학생이 과거를 반성하고 여자친구의 미래를 바꿔놓는 노력을 행하는 작품이자 절절하고 코믹스러운 멜로드라마로 여겼습니다. 하지만 하나타와의 애절한 멜로보다는 현재 큰 조직의 보스인 마이키와 드라켄과의 우정이 조금 더 강조된 작품입니다. 이 부분에서 만화적인 상상력이 크게 발휘된 작품이라고 보입니다.
  코믹적인 부분이 캐릭터 플레이와 잘 결부되어 장르적 재미는 충분히 안겨주는 작품입니다. 일본 특유의 과장된 캐릭터와 과장된 연기가 개인적으로 크게 부담스럽지는 않은 작품이었습니다. 다만 극 속에서 아주 중요한 역할로 작동되어야 하는 경찰 나오토의 캐릭터가 제대로 사용되지 못한 느낌이 들었습니다. 좀 더 드라마틱한 이야기를 위해선 나오토의 역할이 좀 더 필요한 게 아닌가 합니다.
  애니메이션으로도 제작되고 극영화로도 만들어진 <도쿄 리벤저스>는 이런 장르가 익숙한 팬들이라면 큰 무리 없이 재미가 볼 수 있는 작품이지만 그렇지 않은 관객들에겐 소화하기가 힘들지 있는 작품입니다. 이 점을 분명히 생각하고 관람을 해야 하지 않을까 합니다."
도쿄 리벤저스 (Tokyo Revengers),"영화 [도쿄 리벤저스] 티저 예고편(한글) : 키타무라 타쿠미, 이마다 미오, 요시자와 료: 2021



10년 전 과거로 타임리프! 운명을 바꿀 기회가 찾아왔다!
인생 전부를 걸고 펼치는 뜨거운 리벤지가 시작된다!

기대 없는 매일매일을 살아가는 20대 청년 타케미치는
어느 날 뉴스를 통해 첫사랑 여자친구가 사고로 사망했다는 소식을 듣게 된다.
유일하게 자신을 있는 그대로 믿어주었던 그녀를 떠올리던 타케미치는
특별한 타임리프를 통해 10년 전 고등학교 시절로 돌아가게 되고
그녀를 살리고 운명을 바꾸기 위해서는 자신이 변해야만 한다는 걸 깨닫게 되는데…
2021.12 / 東京リベンジャーズ, Tokyo Revengers, 2020

감독: 하나부사 츠토무
출연: 키타무라 타쿠미, 이마다 미오, 요시자와 료, 야마다 유키,스기노 요스케,스즈키 노부유키,이소무라 하야토,마미야 쇼타로

* 영화 정보
https://movie.naver.com/movie/bi/mi/basic.naver?code=196984




영화 [도쿄 리벤저스] 메인 예고편(한글) : 키타무라 타쿠미, 이마다 미오, 요시자와 료: 2021



--------------- 일본 예고편 ---------------------




영화 [도쿄 리벤저스] 1차예고편 : 키타무라 타쿠미,야마다 유키 : 2021 :타임슬립 액션 실사




한때 불량배였던 주인공, 
그는 우연한 계기로 중학교 시절로 타임슬립할 수 있게 되고
하나뿐인 애인이 살해당했던 운명을 바꾸기 위해 
과거로 돌아가 죽음의 원인이 되는 거대 폭주족 '도쿄 만지회'의 톱이 되려한다.
2021.07.09 (일본) / tokyo revengers

감독: 하나부사 츠토무
출연: 키타무라 타쿠미,야마다 유키,스기노 요스케,스즈키 노부유키,이소무라 하야토,마미야 쇼타로,요시자와 료
 



영화 [도쿄 리벤저스] 메인 예고편 : 2021.07.09 : 타임슬립 액션 실사 : 만화 원작




 


* 영화 도쿄 리벤저스 정보
https://wwws.warnerbros.co.jp/tokyo-revengersjp/
https://ko.wikipedia.org/wiki/%EB%8F%84%EC%BF%84_%EB%A6%AC%EB%B2%A4%EC%A0%80%EC%8A%A4


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^




 "
도쿄 리벤저스 (Tokyo Revengers),"안녕하세요, 호진시네마입니다. 

2021년 28주차 일본 주말 박스오피스입니다.
(이 포스팅은 PC 버전을 기준으로 작성하였습니다)



 
2021년 28주차 
일본 주말 박스오피스입니다.

1위는 신작 <도쿄 리벤저스>가 차지했습니다.
이번 주에는 신작들이 대거 상위권을 차지했네요.

이상으로
2021년 28주차 일본 주말 박스오피스 발표를
마치도록 하겠습니다 :)

감사합니다!
호진시네마 드림."
