title,reviews
점박이 한반도의 공룡2 : 새로운 낙원,"공룡이란 공룡이름은 줄줄 외우는 아들 엄마입니다.
매일 방바닥에 티라노사우르스, 머시기머시기 공룡 세워놓고 노는데다
공룡책만 주구장창 읽는데 
우리아들이 점박이 개봉 눈빠지게 기다리고 있어요.

점박이1도 있다고해서 찾아봤는데 
엄마인 저는 공룡 1도 모르는데 재미나더라구요.
아이들이 상상하는 공룡세상이 어떻게 그려질지 저도 무척 궁금합니다.
주라기월드:폴른킹덤은 아직 어려서 그랬는지 무서워서 벌벌 떨었는데 
이 영화도 너무 무서운건 아닌가 모르겠네요.
너무 무서우면 울면서 나간다고 하면 돈아까운데
울며 안뛰어나가게 12월 크리스마스 선물로 친구들이랑 함께 보러 가야겠어요.
겨울방학이니까 친구들이랑 오랜만에 모여서 영화보면 얘깃거리도 되고요.

얼른얼른 개봉되었으면 좋겠어요!"
점박이 한반도의 공룡2 : 새로운 낙원,"어짜피 아동용에 가까운 영환데, 고증이 어쩌구저쩌구 .... 머 어떄? 

데이트하면서 이거보러갈꺼 아니잖아 

쥬라기공원은 공룡이 주인공이냐? 

북미공룡이랑 한반도 공룡이랑 싸우면 애니메이션에서 안되냐? 


그럼 고질라 괴수행성에 나오는 고질라는 어느별에서 온 공룡이냐? 고증도 안된건데

그냥 호기심에 들어와봤다가 영화 시작하기도 전에 초치는 양반들이 많아서 귀찮아도 200자 채운다.


또 이런글 쓰면 찬티니 알바니 그러겠지. 

그냥 1편을 재미있게 보고, 요새 EBS 점박이 공룡대백과 즐겁게 보는 애청자다. 

EBS에서 먼 알바까지 써가면서 홍보하겠냐"
점박이 한반도의 공룡2 : 새로운 낙원,"점박이2
는 우선 순수 제작비 70억,
총 제작비 90억 가량이 들은 수작(?) 대작(?)입니다.

[영화의 스케일]
메인 예고편(중국판)을 보면 우선 스케일업이 엄청 되었다는 것을 느낄 수 있습니다.
점박이 아빠와 아이가 떨어지면서 펼처지는 이야기 처럼 보여지며,
공룡이 때로 몰려다니는 장면이나 다양한 전투신, 후반부의 영상미는 반지의제왕을 떠올리게 합니다.
영상의 퀄리티는 반지의제왕 수준급으로 보입니다.(2001년도... 지만 ㅜㅜ 원하게 퀄이 좋아서)
영상미는 실사합성도 있고, 올 3D도 있는거 같으며 전체적으로 괜찮을 것으로 판단됩니다.


[그럼 시나리오는?]
예고편만 보면 점박이와 아들(?)이 헤어지고 나서의 모험이 펼쳐지다가 악당이 나와서 물리친다는 내용으로 보여지는데요. 다소 평이한 내용을 어떻게 풀어나가는지에 따라 재미의 여부가 달라 질 거 같습니다.
마블 스튜디오의 영화들도 마찬가지 잖아요. 영웅탄생되고, 악당을 물린친다. 앞으로도 물리칠 것이다. 주인공의 능력만 다르지 흐름은 모두 똑같은데도 어떻게 전계하느냐에 따라 전세계가 열광합니다.


[선개봉한 중국의 반응은?]
중국에서는 11월 11일에 개봉하였습니다.
[하필 중국 최대 명절이고, 대작 영화가 몰리는 시기에 ㅋㅋ]
어쨋든 평가는 어떨까요?

우선 현재 평점은 9.2 입니다.
높은 수준이며, 개봉일이 지나면서 조금씩 평점이 낮아지고는 있습니다.

평가 내용을 보면.
어린이와 함께보면 좋다. 특히 아이들이 너무 좋아한다. 가족과 함께 보는 영화다. 영상미가 좋다, 훌륭했다며, 호평도 있고
과거 헐리우드 애니메이션 보다 기술력이 떨어진다. 시나리오가 부족하다. 등 혹평도 있습니다.


[그럼 봐야할까?]
아이들에게 보여줄 경우, 가족과 다 함께 보는 경우에 이 영화를 추천드립니다.
올해는 뽀로로 개봉이후 아이와 볼게 없었는데 드디어 볼게 생겼군요.
조심스럽게 국내개봉시 200만 수준을 예상해봅니다."
점박이 한반도의 공룡2 : 새로운 낙원,"드림서치 c&c에서 1년동안 작업에 참여하면서 정말 많은 작업들을 하기도하고, 나름의 비중있는 역할의 캐릭터도 작업을 했었습니다. 첫 cg작업인 만큼 많이 애정을 가지고 있었고 친구들이나 가족들에게도 많이 알리기도 했었어요.
하지만 제가 작업에 참여했던 캐릭터는 쓰시면서 제 이름은 엔딩크레딧에 없네요?? 
비록 제가 캐릭터를 직접 디자인하고 작업한건 아니지만 제시되어 있는 디자인을 작업하고 그 작업물을 쓰셨으면 적어도 기억을 하셔야 된다고 생각합니다. 누구한텐 엔딩크레딧에 이름이 없다는것이 별 거 아닐수도 있겠지만, 저한테는 그것이 지금하는 분야에 대해서 자부심이 되고, 힘이 될텐데 드림서치쪽엔 많이 서운하고 좋은 이미지를 가지기가 힘들어지네요...
이미 상영을 하는중이라 다시 되돌릴수는 없고, 어떻게 할수 없는 이 상황에 글만 남겨놓습니다.
혹시라도 까먹었다는 소리는 하지 말아주셨으면 좋겠네요.
후.....정말 .... 밉네요 

영화 잘 봤구요. 다음에는 이런 일 없으셨으면 좋겠네요."
점박이 한반도의 공룡2 : 새로운 낙원,"그냥 이영화는 공룡덕들 빡치게하려고 만든영화인듯

타르보사우루스 외형부터 상상력으로 모델링한게 티나고

예고편에 카르노머리 밟는거?
ㅋㅋㅋㅋㅋㅋ외국에 나가면 쥬월2배꼈다고 국제망신만 당하고

이젠 뭐?
드래곤???

이거 아크 서바이벌 이볼브드 더 무비임??

이젠 뭐 초식이랑 친구를 하네
이게 고녀석 맛나겠다 임?

제발 유치원애들이 레고갖고 놀면서 상상할 스토리로는 영화 자체를 만들지를 말자

진짜 애들보는거라고 만들었다해도 애들이 이딴걸 보고 뭔 맞지않는 공룡지식을 머리에 쳐넣겠냐"
점박이 한반도의 공룡2 : 새로운 낙원,"요즘 아이들과 함께 볼만한 영화가 없잖아요

특히 남자아이들 공룡좋아하는데

순 애니들만 있어서...근데 점박이 2 짜잔 등장

아이들과 부담없이 보기에 최고의 영화

정교한 그래픽과 실사같은 화면구성이 너무 좋네요..

꼭 영화관에서 봐야 제대로인듯

영화관에서 꼭 보세요 

아이들이 너무 좋아해요...

더빙도 제가 좋아하는

박희순 라미란씨등이 더빙했네요..

점박이 2 많이들 보세요..

아이들과 부담없이 보기에 최고의 영화

점박이 2 많이들 보세요..

너무 재미있어요

ㅎㅎㅎㅎㅎ"
점박이 한반도의 공룡2 : 새로운 낙원,"가족과 함께 볼수 있는 영화여서 좋을 것 같습니다.
점박이 1도 재미있게 봤었는데요, 점박이 2에 대해 기대해봐도 좋지 않을까요?
1편을 찍으셨던 한상호 감독님이 찍으셨으니까, 퀄리티도 더 좋아졌으리라고 믿어요!

그리고 이런 영화를 자주 봐줘야 다양한 영화산업이 성장할 수 있으니 봐줘야겠어요~
지속적인 투자가 이루어져야 산업이 발전하잖아요!
앞으로 3D 영화산업과 만화산업에서도 세계적인 수준으로 발전하기를 기대합니다.

마지막으로 크리스마스 이브는 연인이랑 보내더라도, 크리스마스에는 가족 & 친척과 이 영화 봐야겠어요!"
정글 (Jungle),"감독: 그렉 맥린
출연: 다니엘 래드클리프(요기), 코마스 크래취만(칼), 알렉스 러셀(케빈)
장르: 액션, 모험, 드라마
러닝타임: 115min
등급: 15세이상 관람가
모티브: 요시 긴스버그의 책 '정글'



한줄평: 수염난 해리포터의 정글 조난영화 ♥













 
1. 오지에 대한 동경

어릴적부터 오지에 대한 동경이 있었다. 인디아나존스를 보고 난뒤에 초등학교 때 꿈이 모험가였다. 보물을 찾아다니는...
어릴적에는 누구나 나와 같은 이러한 꿈이 있었을 것이다.
어릴때, 주말 아침이면 도전! 지구탐험대를 보며 미지의 세계에 대해 강한 호기심을 받았다. 출연자들의 다른나라에서 이색적인 직업을 체험하는 프로그램이었는데... 그것이 재미있었다.

어른이 되면 나도 꼭 한번 저런 오지에 가보리라... 꿈꿨는데... 크고 나니까.. 그것들이 이제는 미디어에 대한 환상이란걸 느꼈다.
정글의 법칙을 보면서 인생에서 오지도 한번쯤 도전해볼만하지 않을까라고 잠깐 생각했었다.
출연자들이 너무 즐거워 보였고 몇 차례의 난간을 극복해나가는 과정이 멋져보였다.

그래서 나도 한번 아프리카나 남미정글에 한번 가볼까라고 생각했는데 현실 앞에 부딪혔다.
일단 그곳에 갈려면 돈이 많이 필요했다...;;;  그리고 그런 오지들은 대부분 치안이 안 좋았다.
그리고 또한 언어도 안됐다.

돈이야 어찌어찌하여 준비하여 간다고 해도 혼자서 가는 것은 목숨을 담보로 걸어야할 판이었다.
방송은 보여주는 것 외적으로 현지 가이드, 안전장비 등 모든 것이 세팅되었기 때문에 오지체험?에 적합하지만
혼자하는 오지여행은 아주 위험해보였다.

그리고 나이가 들면서 오지에 대한 동경은 눈 녹듯 사라졌다. 남들과는 다르고 특별한 체험, 그곳에 가면 무언가를 얻고 돌아오지는 않을까 하는 '파랑새 증후군'의 마법이 풀려버렸다. 굳이 인생에서 색다른 경험을 할 필요는 없어보였고 그것을 남들에게 과시할 필요도 안 느껴졌다.
그리고 그곳에 가지 않아도 현실이라는 정글을 헤쳐나가는 것이 쉽지 않다는 것을 깨닫게 되었다. 여행이 끝난 후에 무언가를 배우고 얻고 깨닫는고 말하지만 굳이 하나뿐인 목숨을 담보로 할 필요성이 있나 싶기도하다.

이번에 소개할 영화도 오늘 하려는 이야기와 같다. 정글 여행을 갔다가 목숨을 잃어뻔한 한 청년의 이야기이다.


2. 수염난 해리포터의 정글 조난기

볼리비아를 찾은 해리포터. 아니 요시 겐시버그.
그는 군을 제대하고 뭔가 짜여져있는 인생의 코스. 학교,결혼, 육아. 그렇게 살아가는 것이 싫고
무언가 특별한 경험을 하고 싶어한다. 그는 정글에서 특별한 같은 것?을 찾고 싶은 정글에 대한 로망이 있는 청년이었다.
히치하이킹을 하며 여행을 하던 그는 여행에서 여러 친구들을 사귀게 된다.
제일 먼저 친해진 친구는 마르커스. 그는 스위스 학교 선생으로 착하다. 그리고 마르커스의 친구 케빈과도 친해진다.
케빈은 배낭여행객들 사이에서는 유명인사다. 그는 좋은 사진을 찍어 내셔널지오그라피 같은 곳에 취업을 꿈꾸고 있다.


이렇게 세친구는 절친이 되고 함께 여행을 가게된다. 그러다 우연하게도 칼이라는 여행가가 그들에게 정글여행을 해보지 않겠느냐며 제안한다. 정글에 대한 로망이 있던 요시는 친구들을 설득하여 정글로 떠나게 된다.

그들의 가이드 '칼'이 여행 틈틈이 미덥지 않아 그를 의심하기도 하지만 오지의 원주민들을 만나면서 의심은 눈녹듯 사라진다.
그렇게 그들의 정글여행은 요시의 로망처럼 아름답게 흘러갈 줄 알았다.
뜻하지 않게 마르커스가 발부상을 당하면서 걷기 힘들어지자 분란이 일어난다. 여행을 끝까지 하고 싶은 요시와 케빈.
여행을 하고 싶지만 만신창이가 된 마르커스는 여행를 포기해야하는 상황에 이른다.

케빈과 요시는 강에 뗏목을 만들어 여행을 제안한다. 그들의 제안에 따라 강에 뗏목을 띄우지만 강한 급류때문에 죽을 위기에 놓이자
가이드인 칼과 친구인 케빈이 대립하게 된다. 결국, 케빈과 요시는 뗏목으로 정글 여행을 하기로 하고 마르커스는 칼과 함께 도보로 마치기로 결정한다.


케빈과 요시는 또다시 강한 급류에 휘말려 좌초되고요시는 급류에 휠쓸려 조난당한다. 친구의 생사조차 알 수얼게 되고 망망대해와도 같은 정글에 홀로 남게 된 요시는 과연 정글에서 살아남을 수 있을까???



3. 정글의 민낯, 정글에서 살아남기

이 영화는 오지에 대한 환상의 민낯을 잘 보여준다. 책이나 방송에서 보던 정글은 모글리의 놀이터이면서 굉장히 이색적이고 특별한 곳으로 잘 포장되어있다. 하지만 현실에 포장지를 풀었을때 그것에 대한 환상은 무참히 깨진다.

요시는 정글에서 살아남기 위해서는 몇가지 위험한 난간을 헤쳐가야한다.

정글은 자주 비가내리는  환경과 물구덩이를 지나야하는 정글 특성상 양말이 젖고 자주 걸어야하기 때문에 무좀과 물집에 시달리는 경우가 많다. 마르커스가 걷지 못하게 된 원인도 이것 때문이고 주인공도 이러한 족부질환에 시달리게 된다.

그리고 정글에는 벌레도 엄청 많다. 독거미, 전갈, 불개미등 위험한 곤충들도 많다.
주인공이 거머리같은 것에 당하고  불개미에 물리고 하지 않던가. 그리고 영화에서는 언급되지 않지만 모기도 엄청 많다.
특별히 모기를 피할 수 있는 약이나 장비가 없어 모기밥이 되었을 것이다. 계속 걸어야 하는 환경상 땀냄새가 많이 나기 때문에...

세번째는 야생의 포식자도 위험대상이다. 뱀이나 재규어같은 야생동물의 먹이가 될 수 있기때문이다. 낮보다는 한치 앞도 볼 수 없는 밤에 이러한 공포에 시달렸을 것이다.

네번째는 식량문제이다. 식수야 주인공은 강을 따라 움직이기때문에 충족된다고 해도 식량은 큰 문제가 될 것이다. 정글에 온갖 동물이 다 산다고 해도 특별한 사냥도구 없이 뭔가 사냥스킬없이 힘들다. 채집하여 생존한다해도 뭔지도 모르는 것을 함부로 먹을 수 없는 처지다. 먹이를 구했다 해도 생존을 위해서 보기 흉해도 어쩔 수 없이 먹어야한다. 영화에서 처럼...

다섯번째는 외로움이다. 장시간 혼자있게되면 죽음보다 힘든 고통을 겪게된다. 혼잣말도 많아지고 상상도 많이하고 과거 일들을 다시 생각하게 만든다.  주인공은 너무 외로운 나머지 원주민 환각을 보기도한다.

이외에도 늪도 위험이 될 수 있고 같은 열대우림을 걸어가기때문에 방향감각을 상실할 수도 있다.

주인공이야 운이 좋아 살았지만 정글에서 조난당하면 정말 끔직할 것 같다.

항상 아름다운 것에는 위험이 있는 것 같다. 정글은 멀리서 보기에는 아름답지만 현실이 된다면 꼭 아름다울 것만 같지 않다.
환상이라는 안개에 덮힌 위험을 항상 주의해야할 것 같다.


4. 요시 긴스버그

이스라엘 태생으로 현재는 모험가, 작가, 강사이다.
1981년. 볼리비아 정글에서 조난기는 올해 영화로 나오기 전, 타큐멘터리 채널에서 그의 생존기 에피소드가 재연되기도 했다.

http://www.dailymotion.com/video/x59flwq  <-위사이트로 가면 볼 수 있다. 영화에서 봤던 비슷한 장면이 많이 나온다.
동영상
I Shouldn't Be Alive 1 - Escape From The Amazon by Series - Dailymotion
Watch I Shouldn't Be Alive 1 - Escape From The Amazon by Series on Dailymotion here
www.dailymotion.com

긴스버그는 군을 제대하고 미지의 문명에 대한 호기심이 강했었다. 그는 볼리비아 아마존에 오기전,
다른 곳에서 정글을 체험했지만 문명화되어 실망을 느낀다.

베네수엘라에서 콜롬비아, 볼리비아로 오는 과정에서 스위스출신의 교사 마커스 스탐이라는 친구도 사귀고
미국인 사진가 케빈도 알게 된다. 그 과정속에서 자신을 지질학자라 소개한 오스트리아 출신의 칼을 만나게 된다.
그의 조언으로 볼리비아 정글을 여행하게 된다. 그는 토착민들의 경고에도 더 깊숙히 정글로 들어갔다.
 원래, 칼은 정글 탐험보다는 볼리비아에서 나오는 금에 대해 애착있었으며 그는 현상수배범이었다.

(켈빈과 요시)
영화에서처럼 마커스는 칼과 함께 도보로 이동하였고 긴스버그와 켈빈은 뗏목으로 이동한다.
이과정에서 배가 좌초되고 긴스버그는 3주동한 정글에서 조난당한다.
긴스버그는 구출됐지만 세달동안 병원신세를 지게된다.

하지만 하류에서 만나기로한 마르커스와 칼은 마을로 돌아오지 못했다.


이후, 긴스버그는 자신이 조난되었던 볼리비아로 돌아가 마을 주민들에게 사회복지시설을 만들어준다.
 또한 전세계에 아편중독센터를 건립했으며 이스라엘과 팔레스테인의 화해의 음악축제를 조직하기도 한다.
최근에는 소셜미디어활동을 하나로 피드할 수 있는 헤드박스라는 회사를 공동창립하기도 한다.

현재는 그는 자신의 아마존의 생존실화를 바탕으로 한 비즈니스 스킬을 많은 사람들에게 전파하는 강사로 활동하고 있다.
영화에서의 ""자신의 길은 직접 선택하는 것이다. 행동하는 사람이야""이라는 말처럼 그는 자신의 삶을 멋지게 그려가고 있는 것 같다.

5.여행의 리스크를 조심하라

영화는 긴스버그의 체험담을 위주으로 재연에 가까우며 조난이라는 것에 초점을 맞추어 영화를 만들어냈다.
주인공이 생존했기 때문에 영화에 나온것이지. 죽었다면 신문에 나왔을 일이다.
 긴스버그는 이일을 바탕으로 많은 좋은 일을 하고 있지만 굳이 목숨을 담보로 위험한 행동을 하는 것은 바보같은 행위인 것 같다.
 죽을 위기를 넘긴 경험은 말하기 좋은 술안주 거리가 됐겠지만... 이런 경험을 안해도 좋은 사람이 될 수있다.

어쨋건, 여행에는 항상 리스크가 있고 무모한 선택에는 항상 위험이 따를 수 있으므로 조심 또 조심할 수밖에 없어 보인다. 
운이 좋아서 이런 경험을 바탕으로 베스트셀러 작가나 강사가 되는 것이지 운 나쁘면 네이버 검색어 괴담의 주인공으로 남을 수도 있다는 것을 명심해야 한다."
정글 (Jungle),"영화 막판 나레이션이 반전이라면 반전인데
딱히 감독이 의도하고 반전영화로 만든 것 같지는 않다.
실화를 바탕으로 만든 영화라 강조할 부분만 강조하다 보니까 선입견과 합쳐져 
마지막에 에필로그에 해당하는 부분이 영화랑 너무 동떨어진 것이 되어버린 것 같다.

하여튼 이 영화를 감상할 사람은 주인공 구조된 후에 나레이션이 줄줄 나오는데
끝까지 읽어라.
황당할 것이다. 
몇몇 리뷰를 보니 성질 급한 분들이 글자 읽기 싫어서 빨리 꺼버린 모양인데 
그래서는 제대로된 결말을 알 수가 없다.


+리플을 보다보니 칼과 마커스가 일찍 도착해서 먼저 떠난게 아니냐는 말이 있던데
나레이션을 좀 자세히 읽어보시길.
But they'd never arrived.
라고 적혀있다. 
칼과 마커스는 접선 장소에 결코 도착하지 못했다는 말이다. 

그리고 케빈이 그들을 찾으려고 몇주 동안 수색했지만 흔적도 못 찾았다고도 적혀있다. 알고보니 칼은 지명수배범. 사건이 1981년도에 일어났는데 여태까지 실종인 걸로 보아 죽었겠지. 칼이 마커스를 죽였거나 사고가 났거나... 어느쪽이든 간에. 

그래서 영화는 마지막에 '마커스를 기리며'로 끝난다. 생존자들이 마커스의 죽음을 확신했으니 이렇게 끝난 거지 살았다고 생각했으면 이렇게 끝냈겠는가. 

여러가지로 좀 뒤끝이 찜찜한 게... 역시 현실은 영화보다 복잡하다. "
정글 (Jungle),"영화 정글을 언론시사회로 보고 왓네요
해리포터안 다니엘 레드클리프가 주연한 영화이고 실화를 바탕으로 햇기에 기대햇는데
영화속 칼로 들장하는 배우 정말 낯이 익다햇더니 바로 택시운전사의 그분이네요
이영화는 한마디로 정말 리얼한 정글의 법칙이네요
우리가 보앗던 아마존 정글에서 19일간의 생존기가 리얼하기에 감동은 잇는데
재미적인 측면에서는 약간 아쉬움은 잇네요
하지만 마지막에 정말 반전아닌 반전이 잇기에 헛웃음이 나오게 되네요
이영화보니 정글의 법칙은 직접 참여하기보다는 역시 티비로만 즐여야한다는
교훈을 얻게 되는것 같아여
아마존 정글이 궁금은 하지만 영화나 방송으로 보는것으로만 만족해야한다는 교훈을 얻게되네요"
