title,reviews
뱅드림! 로젤리아 에피소드Ⅰ: 약속 (BanG Dream! Episode of Roselia I：Promise),"뱅드림! 로젤리아 에피소드Ⅰ: 약속
감독
코다이 카키모토
개봉
2021.06.03. 일본
평점
리뷰보기

 

뱅드림! 로젤리아 에피소드Ⅰ: 약속
애니메이션 일본 77분 2021 .06.03 개봉
코다이 카키모토
[국내] 전체 관람가
줄거리
 너희들, Roselia에 전부를 걸 각오는 됐어?
 '페스'에 출전하기 위해 밴드 결성을 결심한 미나토 유키나.
 그런 그녀 앞에 각자의 소망을 품은 멤버들이 모인다.
 다섯 멤버는 Roselia로서 정상을 노린다.
 이것은 그녀들의 결성부터 FUTURE WORLD FES에 도전하기까지의 '약속'을 그린 이야기."
뱅드림! 로젤리아 에피소드Ⅰ: 약속 (BanG Dream! Episode of Roselia I：Promise),"2021.6.4.(금)

의정부민락 메가박스


메가박스 의정부민락점 도착 !!

아는 지인하고 같이 영화 한편 관람하러 왔지요

제가 쪼금더 일찍(?) 도착 했답니다.

건물로 들어가기전에 한번 찍는 센스!

개인적으로 3층 아롬 타이마사지가 땡기네요

며칠전에 이사를 하느라고 머니가 풍족한 상태가 아니기 때문에?

일주일은 고분고분하게 지내야합니다.

다음에 기회가 되면?? 한번 방문해볼깨요

5층으로 가기전에 한번 인증샷 찰칵

엘베타면 몇초만에 도착했다고 띠딩소리가 또로록

두리번 두리번 거리다? 여긴 없나?

두리번 두리번 거리다가 발견 !!

팜플렛이 여기 있었군요 호호호

갑자기 웬?? 팜플렛을 찾나고요???

애니플러스TV 트위터에서 약속 이벤트중입니다.


약속 이벤트 입니다.

핸드폰으로 대충(?) 화면 캡쳐한거라서 화질이 안좋아도 이해좀 해주세욧

응모기간 그리고 상품 소개

상품은 음악 시디 같아욧

상품 견본 사진 !!

아 갖고 싶네요 공짜는 저를 헐떡헐떡 거리게 만들죠 데헷

바로 이렇게 핑클에 약속해줘 이후로 약속해줘는 처음 보는거 같네요

약속 인증샷을 찍어서 이벤트 주최하는 우리에게 보내라는거죠

메가박스 의정부민락점에 아무도 없는거 확인하고..

조용히 혼자 구석에서.. 약속해줘 깜찍하게(?) 찰칵 찰칵중...

참.. 이런 계획은 원래 없었는데... 선물에 혹해서 막요래

이벤트 참여 완료 !

운이 좋으면 당첨 되는거고 안되면 뭐? 어쩔수 없지요

당첨 되면 인증 후기 남기도록 하겠습니다. 앙!


아는 지인 올때까지 기다리는 동안..

시원한 콜라 한잔 가즈아 !!

리필 되냐고 물어보니깐 한번 리필 된다고 하네요

그래서 느긋하고 시원하게 벌컥 벌컥

심심해서 이것도 한번 찍어보고 !

곧 개봉 예정이네요

이것도 곧 개봉 예정

제이슨 스타뎀이 나중에 스타가 된다는걸 미리 알고 있었는지

이름 부터가 스타뎀입니다.

1주차 특전 안내 !!

아는 지인이 극장에 도착했다는 증거죠

예매는 아는 지인이 센스있게 준비했습니다.

가끔 저렴하게 판매하는 판매자들이 있거든요

그래서 저는 공짜로 알아도 까먹은척 조용히 같이 상영관으로 입장하면 될수도 있지만??

그럼 안되지요 한장에 육천원씩 구입했다고 하니깐 육천원 센스있게 지불 완료

거래는 항상 철두철미하게 해야합니다.

메가박스 좋은점은? 상영 시작전에 특전 지급이 가능합니다.

롯데시네마, 시지브이는 상영 끝난 후 특전 지급 !

그래서 메가박스 좋은점은? 미리 받는다는거?? 저녁 영화라도 조조 타임에 와서

실물 티켓 종이 보여주고 당일 영화는 당일 조조 타임에도 수령 가능함..

그래서 인기 좋은 특전은 저녁꺼 예매하고 오픈 시간에 와서 특전만 받고

영화는 그냥 관람하러 안오죠

(그런걸 부자들의 부루마불 이랄까?)


아는 지인하고 저하고 둘이서 관람이라 특전도 딱 두개 받았습니다.

아는 지인이 위에꺼 밑에꺼? 어떤걸로 가져갈꺼냐고해서 저는 그냥 위에꺼가 좋은거 같은 촉이 오길래

청개구리 마인드로 아랫껄로 달라고 하고 밑에 특전으로 받았습니다.

바로 개봉 해볼까?? 생각하다가 곧 상영 시작이라 특전 개봉은 이따가 하기로 생각하고

일단 영화부터 가즈아


큐알코드로 방문자 인증하고

체온측정까지 무사히 마치고 상영관으로 입장 !

실물 티켓이 아는 지인에게 있어서 몇관 이냐고 물어보니깐

직원분이 친절하게 2관 이라고 말해주네요

바로 앞에 있는 상영관이 2관...

그래서 오호 ~ 여기구마이 외치면서 입장 !

나도 모르게 여기우마이라고 외칠뻔! 우마이 ! 우마이!


곧 상영 시작하길래 전체적인 상영관 크기 찍을려다가

저 광고가 웃겨서 한번 찰칵 !

전체 관람가인데.. 치킨을 바르게 즐길수가 있다고 하네요

그리고 핸드폰 종료 !

어차피 상영 중에 찍어서 뭐합니까 !!!

콜라를 너무 많이 마셨기 때문인지??

거의 끝날때쯤 방광이 버티지 못하고 잠깐 나갔다가 쉬야 한번 하고 왔네요

동영상이 첨부되었습니다. 원본보기

특전 개봉 동영상 !!

아는 지인은 포토카드 뽑으로 갔을때 전 구석에서.. 저렇게 열심히 영상 촬영을...ㅋㅋ

그리고 이왕 영화까지 관람했으니 뭐라도 먹고 들어가야지요

원래 괜찮은곳 아는 지인이 추천했는데 제가 가까운곳에서 먹자고 !!


사내 대장부는 뭐니뭐니해도 무한리필이죠

근처 무한리필 왔습니다. 가까운게 왓따이고 바로 이맛 아니겠습니까??

식판에 본인이 먹고 싶은 반찬 마음껏 담아오기 !

하지만 ?

먹을 만큼만 쪼금씩 !! 여러번 먹어도 되니 괜히 남겨서 버리지는 말자고 적혀있습니다.

맛있는 꼬기 !!

맛있는 꼬기 !!!

뜨끈뜨끈한 참숯? 맞나??

열심히 먹다가 공기밥도 한그릇 뚝딱 !

이것도 먹고 싶으면? 밥통에서 직접 퍼먹으면 되요 !

여기도 적혀있습니다.

먹을만큼만 적당히 남겨서 버리면 무한리필이지만 아깝다고 합니다.

저는 후식으로 비빔냉면 !

그리고 아는 지인하고 근처에 이마트 있어서 필요한 물품 몇개 사고 같이 복귀 완료 !

물건 사이즈 가지고 서로 네이버 블로그 후기 봐야한다고 티격태격 !ㅋㅋㅋㅋ

결국 사이즈가 맞는걸로 운좋게 구입했네요 ~ㅋㅋㅋ

이렇게 오늘의 일기 끝!!

아맞다 롯데시네마에서 영화 캐시트럭 무비싸다구 쿠폰이 오후 4시부터 시작인데..

선착순 4천명은 영화 1천원 관람, 그리고 4천명 초과되면 추가로 4천명에게 영화 3천원 관람인데..

사야지 사야지 기억하고 있다가 잠시 까먹어서,, 제 순번이 4천 3백번째라..

어쩔수없이 3천원에 영화 예매 완료 !

그래도 3천원에 영화 한편 관람하면 좋지요 호호호

다음에는 안까먹게 알람을 맞춰야죠 !"
뱅드림! 로젤리아 에피소드Ⅰ: 약속 (BanG Dream! Episode of Roselia I：Promise),"뱅드림! 로젤리아 에피소드Ⅰ: 약속
감독
코다이 카키모토
개봉
2021.06.03. 일본
리뷰보기




저같은 여자들이

좋아할 작품이지요.

노래는 참으로 신이 빚어낸

최상의 아트입니다.

약속같은 거 없어도요.











하루 종일 보아도

지루하지 않을 볼거리지요.

우리 집 사람들은 노래를 제법 하는데

덕분에 음악에 아주 광분합니다.

늦었지만 어서 진지하게 보고 싶네요."
뱅퀴시 (Vanquish),"VANQUISH . 2021


영화 정말 볼 것 없지만 딱~ 두 가지 섹시한 여자는 머리를 짧게 잘라도 더욱 섹시하다는 것과

그녀(루비 로즈)가 타고 다니는 오토바이가 너무 마음에 든다는 것... 딸을 인질로 잡고 있는 '모건' 정말 얄궂다.

하룻밤 사이에 5개 조직의 돈을 수거하는 임무를 맞고 그녀는 프로 킬러의 본성을 드러내는데

스토리는 감독 마음대로 연출을 해서 그런지 기승전결은 없고 그저 '모건'의 징벌적 행동이지만 좀 치사하다.

액션은 그런대로 봐줄 만하지만 전체적인 구성이 일류 배우가 나오는 영화치고는 너무 썰렁하다는 게 맞겠다. 


뱅퀴시
감독
조지 갤로
출연
모건 프리먼, 루비 로즈
개봉
미국
리뷰보기




 "
뱅퀴시 (Vanquish),"영화 [뱅퀴시 VANQUISH] 예고편(한글) : 루비로즈, 모건 프리먼 : 2021.06 : 액션 범죄 스릴러




단 하룻밤, 5번의 픽업을 완수하라!
국가 영웅이었던 전직 경찰국장은
도시를 장악한 5대 조직과 사건에 휘말린다.
그는 마약 운반책이었으나 손을 씻은 그녀의
딸을 볼모로 잡고 위험한 미션을 제안한다.
단 하룻밤, 5대 조직으로부터 5번의 픽업을 하라!
그녀의 킬러 본능이 폭발하고, 도시는 전쟁으로 치닫는데…
 오늘 밤, 그녀의 분노가 폭주한다!
2021.06/ VANQUISH

감독: 조지 갤로
출연: 루비로즈, 모건 프리먼, 패트릭 멀둔 

* 영화 뱅퀴시 정보
https://movie.naver.com/movie/bi/mi/basic.nhn?code=203225
https://www.imdb.com/title/tt5932368/


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^"
뱅퀴시 (Vanquish),"영화 [뱅퀴시 VANQUISH] 예고편(한글) : 루비로즈, 모건 프리먼 : 2021.06 : 액션 범죄 스릴러




단 하룻밤, 5번의 픽업을 완수하라!
국가 영웅이었던 전직 경찰국장은
도시를 장악한 5대 조직과 사건에 휘말린다.
그는 마약 운반책이었으나 손을 씻은 그녀의
딸을 볼모로 잡고 위험한 미션을 제안한다.
단 하룻밤, 5대 조직으로부터 5번의 픽업을 하라!
그녀의 킬러 본능이 폭발하고, 도시는 전쟁으로 치닫는데…
 오늘 밤, 그녀의 분노가 폭주한다!
2021.06/ VANQUISH

감독: 조지 갤로
출연: 루비로즈, 모건 프리먼, 패트릭 멀둔 

* 영화 뱅퀴시 정보
https://movie.naver.com/movie/bi/mi/basic.nhn?code=203225
https://www.imdb.com/title/tt5932368/


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^












 "
범털2 : 쩐의 전쟁,"영화 [범털2: 쩐의 전쟁] 메인 예고편 : 신유람, 성낙경, 강인성, 이현웅,:2021.05.13: 범죄 액션




“돈이 깡패다”

교도소 내 권력의 양대 산맥 폭력방 VS 취사방
유일하게 무기를 소유할 수 있는 취사반장은 숨은 실세로 추앙받으며
폭력방의 범털에게 항상 불만을 품게 되고,
그로 인해 감빵 안에는 극도의 긴장감이 맴돈다.
 그러던 중, 부산파 두목 취사반장의 과거 악연 ‘기철’이 폭력방으로 입소하고,
본격적으로 두 방 사이 팽팽한 대립이 시작된다.
교도소를 움직이는 재벌 회장과 보안과장까지 개입된 더욱 거대해진 판 속,
진정한 범털을 가리기 위한 싸움으로 크게 번져가는데….
 판은 이미 벌어졌다!
2021.05.13 / 범털2

감독: 강태호
출연: 신유람, 성낙경, 강인성, 이현웅, 양지호, 조남융, 남동현, 미석, 조명행, 이원옥, 유상훈, 고훈

* 영화 범털2 정보
https://movie.naver.com/movie/bi/mi/basic.nhn?code=201853





영화 [범털1] 메인 예고편 : 이설구, 강인성, 유상재, 이현웅, 나윤찬: 2020 : 범죄 액션 : 범털1














 "
베네데타 (Benedetta),"(스포일러가 있을 수 있습니다.)
  [1]
주디스 C. 브라운의 저서 『수녀원 스캔들』이 있기 때문인지도 모른다. 감독은 베네데타라는 인물에 대한 주관적인 의견을 싣지 않는다. 단지 이런 일이 있었고, 이런 루머가 돌았다 정도를 언급할 뿐이다.
  [2]
베네데타는 10살 정도일 때 수녀원에 들어가 원장수녀까지 차지하는 인물이다. (학교를 생각하면 편하다.) 흥미로운 건 베네데타의 나이는 20살 즈음부터 40살 즈음 사이로 굉장히 어리며, 기존의 원장수녀가 60대 이상인 것으로 봤을 때 파격적인 인사였다. 이 인사의 배경에는 예수님으로부터 은총을 받았다는 일종의 현상을 목격한 장면이 놓여 있다. 손발은 물론이고 온몸이 피로 물든 베네데타의 모습에 주교는 의심 반 확신 반의 표정을 취하는데, 이후 기도를 드리던 베네데타의 이마에서 피가 흐르자 의심을 없애고 성녀로 인정한다. 이 장면 전, 즉 주교가 의심 반 확신 반의 태도를 보일 때 원장수녀(샬롯 램플링)는 기존 성녀들의 이마에는 혈흔이 있었다고 의심을 부추긴다.
  [3]
베네데타에 대한 의심은 영화 곳곳에 놓여 있다. 심지어 끝날 때까지도 그렇다. 다만 감독은 의심은 분명하게 거론하되 그녀의 성스러움은 유지하려고 노력한다.
감독이 노력한 데는 다 이유가 있다. 지금도 그러하겠지만 수녀가 성교를 하는 행위는 금기시된다. 이성도 그렇지만 동성은 아마 더 죄악으로 여겼을 것이다. 그러나 베네데타는 그 행위를 했고 그 결과 화형에 처할 뻔하지만 시민들의 반발로 그녀는 풀려나 도시에서 쫓겨나는 데 그친다. 하지만 베네데타는 죽음을 각오하고 페샤로 돌아가는데 결과적으로 시민들은 품었다고 엔딩 크레디트 직전 자막은 말해 준다. 다만 그녀는 70세까지 살았는데, 죄악을 저지른 만큼 식사는 항상 식탁이 아닌 바닥에서 했다고 한다. 이는 시민들과 별개로 수녀원에서 내린 결정이었을 것이다. 그리고 그녀를 품은 덕분인지 페샤는 이탈리아 도시 중 유일하게 페스트로부터 안전했다고 한다.
  [4]
실화가 아니었다면 이 영화에 대한 감상평은 분명 달라졌을 것이다. 그만큼 실화가 가진 힘은 대단하며, 감독은 그 힘을 고스란히 관객에게 전해 주려고 한 듯하다. 앞서도 말했듯이 주관이 담겨 있지 않은 듯했기에.
때문에 이 영화에 대한 초점이 동성애, 노출에 쏠려 있는 건 아쉽다. 근래 본 영화 중 가장 노출이 심하고 자극적인 것은 분명하나 그렇다고 장면들이 일리 없지도 않았다. 더불어 영화 보는 내내 야하다는 생각이 크게 들지 않았다.
  [+]
물론 부산국제영화제 야외 상영은 조금 다른 이야기일 듯하다. 야외 상영은 말 그대로 지나가는 시민들도 소리를 들을 수 있기에 꽤나 불쾌했을 거라고 생각한다. 부산국제영화제 측에 박수를 보내야 할지, 실수라고 해야 할지.
  [++]
노출에 거리낌없는 배우들에게도 박수를. 프랑스 배우들이라서 그런지도 모르겠다. <원초적 본능><쇼 걸> 등 문제작을 내놓은 감독의 작품이라 어느 정도 감안도 했을 테지만.

베네데타
감독
폴 버호벤
출연
비르지니 에피라, 다프네 파타키아, 샬롯 램플링, 램버트 윌슨, 클로틸드 쿠로
개봉
2021.12.01. 프랑스, 벨기에, 네덜란드
평점
리뷰보기"
베네데타 (Benedetta),"베네데타
감독
폴 버호벤
출연
비르지니 에피라, 다프네 파타키아, 샬롯 램플링, 램버트 윌슨, 클로틸드 쿠로
개봉
2021.12.01. 프랑스, 벨기에, 네덜란드
평점
리뷰보기
 <!--[endif]-->

폴 버호벤 감독의 [베네데타]는 17세기 성흔을 바탕으로 성녀로 우대 받았으나 동성애로 인해서 불경한 인물로 고발당했던 수녀 “베네데타”를 주인공으로 한 영화다. 좋은 점이든 나쁜 점이든 많은 논란이 있었던 실제 인물을 중심으로 내세워서 그녀가 겪었던 일련의 사건들을 보여주고 있다.
    영화는 성흔, 성녀, 동성애 등 종교와 성에 대해 논란이 있을 수 있는 소재를 과감하고 적나라하며 강렬하게 표현하고 있다. 특히 몇몇 장면(주인공의 환상 속에서 성흔이 발생하기 전의 장면, 동성애의 목적으로 목상을 이용하는 장면 등)은 시각적이든 정서적이든 선을 넘고 있기에 인상적이다.
  이러한 표현들 때문에 영화 전체를 좋지 않다고 평가 내릴 수 있지만, [베네데타]는 단순히 시각적인 강렬함만을 위해 존재하는 영화는 아니다. 인간이 살면서 가질 수 있는 다양한 욕망들이 주변 환경과 사회에 따라서 어떻게 표출되는지, 또 서로 충돌하면서 어떻게 전개되는지에 대한 내용의 영화다.
      예를 들자면 예수에 대한 끊임없는 갈망, 다른 여성에 대한 성적인 흥분, 자신의 생존에 대한 욕구, 남들에 대한 우월함과 자아도취 등 주인공은 영화가 진행하면서 시종 많은 욕망을 보여주는데, [베네데타]는 이러한 욕망들을 지속적으로 드러내면서 관객들의 관심과 몰입을 지속적으로 유지하고 있다.
  그리고 주인공뿐만 아니라 주변의 인물들도 각자 나름의 욕망(주인공에 대한 시기와 질투, 딸에 대한 사랑과 자신의 생존 사이의 갈등, 남성으로써의 우월함의 증명 등)을 나타내면서 주인공과 끊임없이 교류하게 된다. 영화는 이처럼 누구나 가질 수 있는 욕망에 대해 많은 생각을 하게 만들어 준다.
      한 가지 아쉬운 점은 다양한 욕망들이 등장하여 서로 충돌하는 과정에서 지나치게 많은 이야기를 하고 있다는 것이다. [베네데타]는 중반 이후 필요 이상으로 많은 이야기로 인해서 전개가 다소 난잡하고 혼란스럽게 느껴진다. 또한 쉴 틈 없이 몰아치고 있어서 후반부로 갈수록 피로해지기도 하다.
  하지만 인간이 겪게 되는 다양한 욕망을 숨김없이 표현하고 있는 영화의 과정은 확실히 기대 이상으로 인상적이다. 감독의 대표 영화들을 생각한다면 이러한 과정이 당연하다고 생각될 수 있는데, [베네데타]는 보고 있으면 그 당연하다고 생각되는 것도 무척 신기하고 놀랍게 느껴지기도 하다.
   <!--[endif]-->"
베네데타 (Benedetta),"베네데타
감독
폴 버호벤
출연
비르지니 에피라, 다프네 파타키아, 샬롯 램플링, 램버트 윌슨, 클로틸드 쿠로
개봉
2021.12.01. 프랑스, 벨기에, 네덜란드
리뷰보기








[2021-326]
베네데타




2021년 12월 5일 일요일 롯데시네마 평점 4.5점


폴 버호벤 감독의 신작영화가 전작인 [엘르]에 이어 5년만에 개봉했다. 오랫동안 버호벤 감독의 팬이었던지라 이 번 영화도 놓칠 수 없었다. [베네데타]는 단골인 CGV에 걸리지 않고 롯데시네마에만 상영되는것 같다. 덕분에 오랜만에 롯데시네마를 찾았다. 일요일 조조시간을 이용해 운동겸 사부작 사부작 다녀왔다.

버호벤 옹은 그의 필모를 살펴보면 경력에 비해 비교적 과작감독에 속한다. 하지만 대부분의 작품들이 균질하게 일정 수준의 퀄리티를 보여주기 때문에 많은 팬의 호응을 받는다고 생각한다. 이 번 영화도 그런 기대의 범주안에 속하는 작품이라고 할 수 있다. 일단, 폴 버호벤 감독에 대해 좀더 알아보자면,

""1938년 7월 18일 네덜란드 암스텔담 출생. 고등학교 시절 1년 동안 파리에서 그림 공부를 하기도 했던 그는 네덜란드로 돌아온 후 라이덴 대학에서 수학과 물리학을 전공했지만, 영화에도 흥미가 깊어 60년 최초의 단편영화를 찍기도 했다. 암스텔담 영화 아카데미에 들어갔지만 교수 방법이 마음에 들지 않아 중도에 포기하고, 군복무를 하게 된다.

군 시절 네덜란드 해군에 관한 다큐멘타리를 찍었는데, 제대 후에는 방송국의 감독으로 일했다. 그의 컴비인 루트거 하우어와는 69년에 만나 방송 시리즈물인 < Floris>를 맡은 후 71년 최초의 장편 < Wat Zien Ik>을 찍었다. 두번째 작품 <사랑을 위한 죽음>은 청년예술가의 무한궤도적인 사랑을 그린 강력한 영화인데, 아카데미 외국어영화상에 노미네이트되었다.

이후 동성애 작가의 기묘한 삼각관계와 죽음에 대한 불안을 묘사한 <네번째의 남자>가 84년 아보아리츠 영화제에서 심사위원 특별상을 수상해 국제적인 명성을 얻기 시작했다. 하지만 85년에 오라이언사의 100만 달러의 저예산으로 제작된 중세 사극 <아그네스의 피>는 대참패를 면치 못해 수모를 겪게 되었는데, 이때 버호벤은 미국 관객들의 기호와 제작방 대한 폭넓은 공부를 할 수 있었다고 한다.

그 결과 87년에는 1400만 달러짜리 <로보캅>을 완성했는 데, 이 작품으로 자신을 지원해 준 오라이언 사의 경영상태를 단번에 흑자로 돌려놓았다. 죽은 경관을 로보트로 소생시켰지만 인간적인 면모를 잃지 않는다는 줄거리는 미국 상업영화 시장에 신선한 충격을 주었다. 그후 <로보캅> 속편 의뢰를 거절하고 우주 속으로의 환상여행을 그린 <토탈 리콜>로 SF 흥행감독이 되었다. 92년에는 섹스 미스테리 영화인 <원초적 본능>으로 헐리웃에 섹스 미스테리 붐을 일으킨 장본인.""

데뷔작부터 그의 모든 영화를 감상했다. 사실 실패작으로 일컬어지는 [아그네스의 피]도 그닥 나쁘지 않아다고 생각하는데, 이 번 영화는 다소 논란이 될 수 있는 소재임에도 불구하고 관객의 눈길을 스크린에 잡아놓는다. 이 영화는 실화를 바탕으로 만들어졌는데, 중세시대에 이런 일이 버젓하게 벌어졌다는 자체가 놀랍다. 소개글을 통해 영화에 대해 좀더 알아보자면,

영화의 모델이 된 베네데타 까를리니는 이탈리아 피렌체 국립문서보관서에 보관된 [신비주의자로 가장했지만 결국 부정한 여인으로 판명된 페샤의 테아티노회 수녀원장, 벨라노 출신 베네데타 까를리니에 대한 재판과 관련된 문서의 주인공이다. 1619년부터 1623년까지 이뤄진 심문 기록에는 수녀원장 베네데타와 다른 수녀 간 성적 관계가 자세하게 묘사되어 있었고 거짓 종교적 환영과 신비로운 체험 위증에 관한 심문도 있었다.

아버지가 신에게 한 약속 때문에 어린 시절부터 수녀원에 들어간 베네데타는 23세 때 “그리스도와 심장을 교환하고, 신과 결혼하는 환영에 빠졌다”며 십자가에 못 박힌 예수의 상처인 성흔이 자신의 몸에 생겼다고 했다. 신비주의자들이 점점 그 말을 믿어 베네데타가 신과 소통하고 특별한 가호를 받는다고 주장했다. 그러다 룸메이트인 바르톨로메아와의 성적인 관계가 밝혀지면서 추락하게 된다. 
  
 베네데타는 베네데타가 어떻게 성인으로 추앙 받으며 30세에 수녀원장에 오르게 되었는지, 주님과 바르톨로메아와의 사랑의 진실에서 어떤 혼란을 겪었는지를 보여준다. 그리고 종교적 거짓말보다 더 큰 죄였던 동성애 사건이 가부장적 사회 질서와 남근 중심 세계관을 어떻게 뒤흔들었는지에 대한 적나라한 표현으로 관객들에게 주제의식을 던진다.(소개글 발췌)""

버호벤 감독의 영화답게 노출수위는 상당한편이지만 그닥 외설스럽게 느껴지지 않는다. 주인공 베네데타를 맡은 비르지니 에피라와 그의 상대역이자 신예인 다프네 파타키아, 그리고 노장배우인 샬롯 램플링까지 배우들의 연기가 영화와 조화롭게 어울린다. 아울러 버호벤 감독의 연출력까지 박자가 맞는 영화다. 개인적으로 올해 감상한 영화중 상당히 인상적인 작품이었다."
