title,reviews
언더그라운드 (Underground),"언더그라운드
감독
김정근
개봉
2021.08.19. 대한민국
평점
리뷰보기

<그림자들의 섬>을 만들었던 김정근 감독의 신작, 다큐멘터리 <언더그라운드>는 우리가 매일 같이 이용하는 지하철의 보이지 않은 세계를 다루고 있는 작품입니다.
  <언더그라운드>는 지하철을 통한 다양한 직업군을 먼저 소개하고 그 속에서의 애로사항이나 그들의 사명감 등을 보여주는 작품입니다. 그리고 가장 중요한 직접 고용에 대해서도 언급하고 있습니다. 우리가 지하철에서 자주 보는 홍보 스티커의 내용이 바로 직접 고용에 대한 것입니다.
  가장 먼저 등장하는 것은 졸업을 앞둔 고등학생들이 지하철 관련 부품을 만드는 공장을 견학하는 것으로 시작합니다. 그리고 지하철 청소부들을 보여주고 선로 청소 및 점검하는 분들을 보여줍니다. 우리가 잘 알지 못하는 지하철과 역사 내에서 일하시는 분들의 모습을 차례로 보여줍니다. 또한 잘 알지 못했던 무인화 시스템에 대한 언급도 등장하는데요.
  그것으로 인해 일을 잃어버린 분들의 모습이 많이 안타까웠습니다. 무인화는 어쩔 수 없는 추세이긴 한데 대비 없이 무조건 인력을 제외하는 것이 많이 아쉬웠습니다. 그리고 평생을 지하철 운전으로 보내신 분들이 자동화로 인해 전혀 다른 교육을 받는 모습들도 담고 있는데요. 엔딩 장면에 이르면 그 허탈감은 이루 말할 수가 없습니다."
언더그라운드 (Underground),"언더그라운드
감독
김정근
개봉
대한민국
리뷰보기
노동의 신화는 지하로 침잠한다.
 지하철이 움직이는 이미지를 상상해보자. 지하철은 맹렬히 지하도를 다니지만, 그는 횡으로 이동할 뿐, 결코 종으로 움직이는 법이 없다. 김정근의 <언더그라운드> 속 노동은 이와 닮아있다. 지하의 노동자들은 기착역에서 종착역으로 전철을 움직이고, 왼쪽에서 오른쪽으로 비질을 하며, 닫히지 않는 문 밑으로 그어진 선은 가로로 뻗어있다. 어쩌다 잠시 올라오더라도 이내 다시 내려가야만 한다. 에스컬레이터를 타고 올라온 청소 노동자들, 지상으로 잠깐 올라온 기관사는 결국 다시 지하의 세계로 침잠하여야만 하는 것이다.
 이런 횡의 운동은 <언더그라운드>가 보여주는 노동의 연대기, 즉 역사의 운동 방식과도 무관하지 않다. 역사가 과거-현재-미래로 흐르듯이, 공업고등학교를 다니는 학생, 비정규직 노동자, 사라지는 노동자들의 순서로 운동한다. 부푼 기대를 품고 회사에 취직하려는 공고 학생들은 사라져버린 매표 직원과, 무인으로 운전되는 차량에 앉아있는 기관사의 모습으로 치환된다. 마치 노동의 결말인 것처럼 말이다.
 감독은 지하철 내부의 문제에는 관심이 없는 대신 그것을 둘러싼 풍경에 카메라가 놓는다. 그러다보니 이야기의 중심으로 들어가기 보다는, 그들의 현재를 보여주는데 치중한다. 취업을 준비하는 고등학생, 똑같은 일터지만 하청업체 비정규직으로 일하는 노동자, 고단한 청소 노동자들의 노래, 사라져버린 매표소를 추억하는 매표 노동자 등등. 김정근은 그들 이야기 하나하나보다는, 고의로 파편화하여 지형도를 그리는데 열중한다. 마치 지하철 노선도처럼, 연결되어있지만 각자 독립된 역들의 조합인 셈이다.
 감독의 전작 <그림자들의 섬>(2014)을 생각해본다면, 이와 같은 방식은 생경해진다. 뛰어난 스토리 텔러였던 그가, 상대적으로 약한 내러티브를 드러내는 방식으로 차용한 까닭은 무엇일까. 아마도 그는 뜨거운 투쟁의 현장과 분노를 삼킨 뒤, 한발 물러서 노동의 지형도를 파악하고, 다가오는 냉혹한 미래를 감각시키고자 했음이 분명하다. 그리고 영화는 그런 목적을 적확히 달성한다. 정확하게 멈추고 출발하는 지하철처럼, <언더그라운드>는 지하철을 닮아있는 작품이다.
 그러나 그렇기에 <언더그라운드>가 품는 한계 역시 명확하다. 매끈하게 잘 빠져나온 영화에 다른 해석의 여지는 없다. 감독이 준비해온 정확한 의도 아래, 영화에 나오는 인물과 공간들은 자신의 역할을 수행할 뿐이다. <언더그라운드>의 이미지가 다른 상상력을 불러일으키는지를 질문해본다면, 나는 망설여진다. 물론 영화가 던지는 질문은 존재한다. 어둠 속으로 들어가는 전철과 기관사를 보면서, 우리는 노동의 미래에 대한 생각을 해볼 것이다. 그러나 그것이 <언더그라운드>만의 질문이거나 혹은 왜 이 영화를 통해서 나와야하는 질문인지는 설명하지 못한다. 그러니 질문의 방향은 어느 정도 이상 진전되지 못한다.
 노동의 신화가 지하로 침잠되지만, 영화의 질문은 허공 높이 떠다닌다. 어쩌면 김정근은 이 간극을 고의로 의도한 것은 아닐까. 그 공백을 관객 스스로가 채워주길 바라면서.
  "
언더그라운드 (Underground),"[언더그라운드] 메인 예고편 : 2021.08.19 : 다큐멘터리



모두가 잰걸음으로 땅 위 삶을 향해 지하를 거쳐만 갈 때
'언더그라운드'에는 이 반듯한 공간을 움직이는 사람들이 있다
 오늘도 시끄럽게만 돌아가는 세상 아래
지하에서의 삶은 어떠한지 그들에게 다가간다
 도시를 지탱하는 지하의 노선도, 언더그라운드
2021.08. / 

감독: 김정근

* 정보
https://movie.naver.com/movie/bi/mi/basic.naver?code=189569


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^"
언포기버블 (The Unforgivable),"언포기버블
감독
노라 핑스체이트
출연
산드라 블록, 빈센트 도노프리오, 존 번탈, 리차드 토마스, 린다 에몬드, 아이슬링 프란쵸시, ...
개봉
2021.11.24. 미국
평점
리뷰보기

노라 핑스체이트 감독이 연출한 넷플릭스 영화인 <언포기버블>은 20년 수감생활을 마치고 가석방 된 한 여성에 관한 이야기입니다.
  경찰 살인 혐의로 체포돼 20년 간 복역생활을 한 루스 슬레이터(산드라 블록)는 관라 감독 하에 차이나타운에서 생활을 시작하게 됩니다. 생선 공장에서 일하고 투잡으로 목공일도 함께 합니다. 그러나 그녀는 사회로의 제대로 된 복귀와 적응보다도 20년 전 감옥에 오면서 헤어진 여동생 케이티의 행방을 찾는 것입니다. 케이티는 언니와 헤어진 직후 입양이 되었고 당시에 나이는 다섯 살이었습니다.
  한편 루스가 살해한 경찰의 아들 둘은 루스와 시애틀의 같은 동네에서 살고 있습니다. 아들 중 형은 아버지에 대한 복수를 계획하지만 안정된 삶을 살고 있는 동생은 형의 계획을 만류합니다. 하지만 어떤 계기를 통해 둘의 상황은 바뀌게 됩니다.
  한마디로 표현하지면 이 작품은 절절한 자매의 가족멜로드라마입니다. 케이티를 보호하고 살던 집을 지키기 위해 루스는 강제퇴거를 진행하러 온 경찰들에게 저항합니다. 그 상황에서 사건이 발생된 것이죠. 이 장면은 출소 후 루스의 상황과 영화가 끝날 때까지 교차 편집되어 보여줍니다. 그 교차 편집과정에서 보여줄 것과 감추어야 할 것을 반복하면서 영화의 긴장감과 거대한 비밀이 조금씩 밝혀집니다.
  이 작품은 누가 뭐라고 해도 산드라 블록의 작품입니다. 영화의 시작부터 끝까지를 다 책임지고 있다 해도 과언이 아닙니다. 캐릭터에 대한 이해와 해석은 훌륭했고 다른 배우들과의 호흡도 좋았습니다. 다만 다섯 살을 둔 나이 차 나는 언니 역할에 과연 어울리는 지는 잘 모르겠습니다. <아이리시맨>에서 절반의 성공(?)을 보여줬던 로버트 드니로의 모습을 이 작품에서도 산드라 블록이 보여준 게 아닌가 싶습니다. 과거 장면에서 보이는 산드라블록의 모습(아마도 20대를 표현하는 것으로 보입니다)은 어색한 면이 없지 않았습니다.
  <언포기버블>은 제목을 충실히 보여주는 내용의 작품이 아닌가 싶습니다. 용서와 관용, 혹은 도저히 용서할 수 없는 상황에 답답함과 그에 대한 비밀을 잘 표현하고 있는 작품이었습니다."
언포기버블 (The Unforgivable),"12월 10일 '넷플릭스'로 통해 공개된 영화 '언포기버블'입니다.


'언포기버블'은 2009년에 방송된 영국 드라마 '언포기븐'을 원작으로 한 영화인데요.
'영어사전'을 검색해보니..

'언포기븐'은 '용서받지 못한'
'언포기버블'은 '용서받지 못할'이네요..


'보안관'을 죽인 혐의로 '20년'동안 '감옥'에 있었던 '루스'
그녀는 '감옥'에서 어린 여동생인 '케이티'에게 '편지'를 보냅니다..


그러나...'케이티'의 '양부모'는..
'루스'가 보낸 편지를 오는 족속 태워버리는...


그리고 수감생활 20년이 된 그녀는
드디어 '가석방'되는데요...


'루스'의 가석방 담당인 '빈스'는 그녀를 도와주려고 하고..


'루스'역시 '목수'자격증이 있는지라 원하는 '일자리'를 찾으려고 하지만 쉽지 않습니다.
그녀에게는 '경찰살해범'이라는 '낙인'이 있었기 때문이지요..


그리고 어른이 된 '케이티'


그녀의 '양부모'는 '케이티'를 친자식처럼 돌보고
'케이티'를 친언니처럼 생각하는 '여동생'도 있습니다..


결국 '목수'자리를 구하질 못해..
'생선공장'에서 일하게 된 '루스'

그러나 그곳에서의 '삶' 또한 쉽지 않습니다..
자신이 '경찰 살해범'이라는게 밝혀지고..'괴롭힘'을 당하는..


그런 그녀의 유일한 희망은...


바로 여동생 '케이티'을 다시 만나는 것이였는데요..


'루스'는 자신과 여동생이 살던 집을 찾아갔는데..
그곳에는 '존'이라는 '변호사'가 살고 있었고.. 

'케이티'를 만나기 위해 '존'에게 도움을 요청합니다..

그런데 '존'의 아내인 '레이첼'은
'존'이 그 '의뢰'를 받는것을 좋아하지 않습니다..

'레이첼'은 '루스'가 '경찰'을 죽였음에도..
'백인'이라 '가석방'되었다는 사실에 '분노'했는데 말입니다..

자신의 '흑인아들'이 '경찰'을 죽였으면..
'사형'이거나 평생 '감옥'에 있었을텐데 말이지요...

'존'의 노력으로 겨우 '케이티'의 '양부모'를 만나지만..
그녀들은 '케이티'와의 만남을 완강히 거부하고..
무너져 가는 '루스'
'존'을 보려 왓다가 만난 '레이첼'과 대판 싸우게 되는 '루스'
그 가운데 '루스'의 '비밀'이 드러나는데요
오랫동안 감추고 있었던 그녀 혼자만이 알고 있었던 그날의 '진실'












'성경'에 보면 '죄는 미워하되, 사람은 미워하지말라'는 말이 있습니다..
그렇지만, '사람'이 '죄'를 짓는데, '사람'을 미워하지 않을수는 없는법이지요.
그래서 '넘버3'에서 '마동팔'검사는...말합니다
'죄가 무슨 죄냐고...죄짓는 **같은 새끼들이 나쁜거지..라고'

사실...우리는 너무나 많이 봅니다.
'죄'를 짓고 나온 사람들이 아무렇지도 않게 다시 '죄'를 저지르기에..
그래서 아무래도 '교도소'에서 나왔다고 하면 '색안경'을 끼고 보기 마련인..

영화 제목인 '언포기버블'..은 말 그대로 '용서받지 못할'
'감옥'에서 나온 '죄수'들을 향한 '냉담한 시선'을 보여주는데요..

주인공 '루스'는 평범한 '잡범'도 아니고..
'경찰 살해범'으로 20년동안 '감옥'에서 보낸 그녀..
'공권력'이 강한 '미국'에서는 '경찰'을 살해했다는 이유만으로도
평범한 삶은 쉽지 않을텐데 말입니다.

그래서 원하는 '일자리'를 찾기가 쉽지 않았고
그 마져도 '경찰 살해범'이라는 '낙인'에 고통스럽게 보내야했습니다
그런 '루스'의 유일한 희망은 20년전 헤어진 여동생 '케이티'

그러나 '케이티'를 친자식처럼 돌보던 '양부모'는..
'루스'와의 '만남'을 거부하고..
솔직히 이해가 안되는 것도 아니더라구요...정말 행복하게 살고 있는 '케이티'앞에
'살인자'인 '루스'가 만나는 것을 꺼릴법도 한..

그러나 '반전'이 있었는데 말입니다..ㅠㅠ


스포있습니다.

'존'을 찾아온 '루스'
'존'의 아내인 '레이첼'은 '루스'에게 '분노'합니다..

그러자 '루스'는 말하는데요..
'그 애는 겨우 5살이였다고...'

그제서야 '레이첼'은 '루스'의 그 말을 알아듣는데요..

20년전 '보안관'을 죽인 사람은 '루스'가 아닌..
어린 '케이티'였던..
그리고 '케이티'를 대신하여 그녀는 '감옥'에 갔어야 했는데요
왜 이리 안타까운지..ㅠㅠ

그런데 '자백'을 했다고 해서 ...제대로 '수사'를 안하는것인지.
원래 '총'을 쏘면 '손'에 '화약'반응이 있으니 말입니다.
설마 '케이티'가 쐈다고는 '생각'도 안한건지라고 '생각'할수도 있겠지만 말이지요..

그런데 '루스'에게 위기가 찾아오는데요..
바로 '루스'가 죽인 '보안관'의 '아들'이..
'케이티'를 납치하고 그녀를 '협박'한것..
(그런데 사실 케이티가 아니였죠...)

'루스'는 '보안관'의 '아들'을 찾아가 '설득'합니다..
'복수'때매 '소중한 것'을 잃지 말것을 말이지요.
자신 역시 '소중한 사람'을 잃었기 때문입니다.

'복수'를 포기하는 '보안관의 아들'
풀려난 '루스'는 ..꿈에 그리던 '케이티'와 다시 만나게 됩니다
그리고 두 사람의 '포옹'으로 영화는 끝이 나는데요.

정말 '산드라 블록'의 연기는 최고였는데요..
'미모'를 포기하고, 화장기 하나 없는 얼굴로 내내로 등장합니다
'무표정'으로 삶에 찌들고 지친 연기를..
그리고 '여동생'을 향한 그리움을 표현하는 장면도..

대단하구나 하면서 봤었는데 말입니다
이제는 예전에 '로코여신'이 아니구나 하면서 말이지요..

'산드라 블록'의 여동생역의 '아이슬링 프란쵸시'는..
영드 '더 폴'과 얼마전에 개봉한 호주영화 '나이팅게일'로 만났었는데
점점 이뻐지는거 같은 ㅋㅋㅋ
처음부터 끝까지 '산드라 블록'이 끌고 가는 영화인지라..
보면서 그녀의 '연기'가 대단하단 생각밖에 안들던 작품이엿습니다.

언포기버블
감독
노라 핑스체이트
출연
산드라 블록, 빈센트 도노프리오, 존 번탈, 리차드 토마스, 린다 에몬드, 아이슬링 프란쵸시, 롭 모건, 엠마 넬슨, 윌 ...
개봉
2021.11.24. 미국
평점
리뷰보기"
언포기버블 (The Unforgivable),"언포기버블
감독
노라 핑스체이트
출연
산드라 블록, 빈센트 도노프리오, 존 번탈, 리차드 토마스, 린다 에몬드, 아이슬링 프란...
개봉
2021.11.24. 미국
평점
리뷰보기

경찰을 살해한 죄로 20년 복역 후 가석방된 루스 슬레이터.
가석방 감시관에게 늘 구속을 받으며 지낸다.
생선 공장과 목수 일을 하며 하루하루를 버틴다.
슬레이터는 지난 20년 동안 당시 5살이었던 동생 케이티에게
천 여통의 편지를 보냈으나 답장이 없었다.
동생을 만나고 싶은 슬레이터는 변호사를 통해
동생을 입양한 부모를 만났지만 냉정하니 동생과의 만남은 불발되었다.

살해된 경찰의 아들들은 슬레이터에게 복수를 다짐한다.
형이 자신의 아내와 불륜을 저지르는 모습을 보며
동생 스티브는 케이티의 동생을 케이티로 착각하여 납치한다.

 반전이 있었다.
5살 난 동생을 차마 살인자로 만들 수 없었던,
그것마저도 자신의 잘못이라 여긴 언니는
동생을 대신해서
교도소로 갔었다.

사족: 케이티의 동생이 납치되어 슬레이터가 그 곳에 도착했을 때
슬레이터는 [걔는 잘못없어]라고 계속 말한다.
답답한 대사다. 상식적이지도 않다.
[걔는 내 동생이 아니야]라고 했어야지.
그래도 스티브의 결심으로 아무 일도 일어나지 않아서 다행이다만.....

후반부 몰입이 좋았던 영화다.
그나저나
산드라 블락도 많이 늙어버렸다..."
언포기버블 (The Unforgivable),"언포기버블
감독
노라 핑스체이트
출연
산드라 블록, 빈센트 도노프리오, 존 번탈, 리차드 토마스, 린다 에몬드, 아이슬링 프란...
개봉
2021.11.24. 미국
평점
리뷰보기


언포기버블, 2021














 
무난하고 볼만한 드라마 영화
죄를 지어 벌을 받아 마땅한 인간들이 사회에 섞여 사는 것도 문제지만
안타까운 상황에 의해 불합리한 벌을 받아 사는 것도 문제임을 보여주는 듯"
언포기버블 (The Unforgivable),"영화 [언포기버블] 예고편(한글) : 산드라 블록, 빈센트 더노프리오 : 2021.12 넷플릭스



강력 범죄 혐의로 장기 복역 후 출소한 루스 슬레이터(산드라 블록). 
그러나 다시 발을 들인 사회는 그녀의 과거를 용서하려 들지 않는다. 
한때 집이라고 여겼던 곳에서 심한 편견에 부딪히는 루스. 
과오를 만회할 수 있을까? 
유일한 희망은 어쩔 수 없이 두고 온 여동생을 찾는 것뿐.
2021.11월 일부 극장, 12월 넷플릭스 / The Unforgivable

감독: 노라 핑스체이트
출연: 산드라 블록, 빈센트 더노프리오, 존 번탈, 리처드 토마스, 린다 이먼드, 애슐링 프란초지, 롭 모건, 바이올라 데이비스

* 영화 정보
https://www.netflix.com/search?q=%EC%96%B8%ED%8F%AC%EA%B8%B0%EB%B2%84%EB%B8%94&jbv=81028975
https://www.imdb.com/title/tt11233960/


* 영상이 유익하셨다면 '구독'과 '좋아요'를 눌러주세요~ 구독은 큰 힘이 됩니다. ^^








 "
언포기버블 (The Unforgivable),"[영화] 언포기버블 후기 - 기구한 연주

.
.
.



.
.
.


1. 팔자소관

단지 살겠다는 것만으로도
기구한 운명이 될 수 있나?

이유야 어떻든 간에 지킬
소중한 존재들이 있는데,

사회 환경이 빚어내는 어떤
입장 차이의 리모델링 팔자


2. 리사이틀

버티기 힘든 우발적 상황
혼자 연주하게 될 수밖에

사건을 관리하는 시스템도
사고를 유발할 수 있기에,

좀 더 살펴볼 필요가 있는
인간지사의 사각지대랄까?


.
.
.

덧.

갈아타기 힘들어도
갈 수밖에 없는 길.

.
.
.

#영화 #언포기버블 #후기 #기구한 #연주 
#사건 #사고 #시스템 #리모델링 #팔자
#nochoice #but #togo
#TheUnforgivable #hapless #recital
#unforgivable #timing
#Difference #position
#remodeling #system 
#NoraFingscheidt #LindaEmond #SandraBullock #JonBerntha #AislingFranciosil #RobMorgan #EmmaNelson #WillPullen

.
.
.

cgv강변"
언포기버블 (The Unforgivable)," 







노라 핑스체이트 감독
The Unforgivable, 2021








쓸쓸하거나 씁쓸하거나










불의의 사건으로 어린 동생을 대신하여 죄갑을 치룬 언니
무려 20년의 감옥 생활로 인생이 송두리째 날아가 버리고
자신의 삶을 지탱해준 것은 동생의 안위었다

그러한 동생을 자유롭게 만날 수 있게 되었지만
어떻게 지내는지 알 방법도 없고 도와주는 이 하나 없이
세상의 냉대와 멸시 속에서 하루하루 버틴다

버티는 삶이 녹록치 않다
하루하루가 무의미하고 연락이 닿지 않는 동생만 생각할 뿐이다

순수하게 동생의 안위가 궁금했을까?
어쩌면 부정된 자신의 삶을 치유하기 위한 유일한 해결책일지도 모른다"
